QueryID	SubjectID	GenBankID	%match	AlignmentLength	Mismatch	GapOpenings	Evalue	Bitscore
HVD-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
HVD-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
HVD-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
HVD-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
HVD-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
HVD-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
HVD-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
HVE-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.47	131	2	0	2.00E-61	231
HVE-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.47	131	2	0	2.00E-61	231
HVE-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.47	131	2	0	2.00E-61	231
HVE-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.47	131	2	0	2.00E-61	231
HVE-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.71	131	3	0	8.00E-60	226
HVE-PCr	lcl|KY502372.1_cds_AST35981.1_1		96.95	131	4	0	4.00E-58	220
HVE-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.54	652	3	0	0	1188
HVE-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.53	644	3	0	0	1173
HVE-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.07	646	6	0	0	1160
HVE-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.07	646	6	0	0	1160
HVE-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.07	646	6	0	0	1160
HVE-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.07	646	6	0	0	1160
HVE-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.07	646	6	0	0	1160
HVE-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.07	646	6	0	0	1160
HVE-ZCOI	lcl|KF271436.1_cds_AHL24686.1_1		99.84	631	1	0	0	1160
HVE-ZCOI	lcl|FJ423975.1_cds_ACN97569.1_1		99.84	631	1	0	0	1160
HVI-FOLLMER	lcl|KR401093.1_cds_ALL99174.1_1		98.24	569	9	1	0	994
HVI-FOLLMER	lcl|KR401094.1_cds_ALL99175.1_1		98.24	569	9	1	0	994
HVK-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.59	142	2	0	1.00E-67	252
HVK-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.59	142	2	0	1.00E-67	252
HVK-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.58	141	2	0	5.00E-67	250
HVK-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.58	141	2	0	5.00E-67	250
HVK-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.89	142	3	0	6.00E-66	246
HVK-PCr	lcl|KY502372.1_cds_AST35981.1_1		97.18	142	4	0	3.00E-64	241
HVK-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.7	675	2	0	0	1236
HVK-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
HVK-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
HVK-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
HVK-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
HVK-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
HVK-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
HVK-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	650	2	0	0	1190
HVK-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
HVK-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
HVL-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.48	132	2	0	5.00E-62	233
HVL-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.48	132	2	0	5.00E-62	233
HVL-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.48	132	2	0	5.00E-62	233
HVL-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.48	132	2	0	5.00E-62	233
HVL-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.73	132	3	0	2.00E-60	228
HVL-PCr	lcl|KY502372.1_cds_AST35981.1_1		96.97	132	4	0	1.00E-58	222
HVL-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.7	675	2	0	0	1236
HVL-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
HVL-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
HVL-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
HVL-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
HVL-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
HVL-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
HVL-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	650	2	0	0	1190
HVL-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
HVL-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
HVM-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.53	136	2	0	3.00E-64	241
HVM-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.53	136	2	0	3.00E-64	241
HVM-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.53	136	2	0	3.00E-64	241
HVM-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.53	136	2	0	3.00E-64	241
HVM-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.79	136	3	0	1.00E-62	235
HVM-PCr	lcl|KY502372.1_cds_AST35981.1_1		97.06	136	4	0	6.00E-61	230
HVM-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.71	678	2	0	0	1242
HVM-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	653	2	0	0	1195
HVM-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
HVM-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
HVM-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
HVM-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
HVM-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
HVM-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
HVM-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
HVM-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
HVN-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.47	131	2	0	2.00E-61	231
HVN-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.47	131	2	0	2.00E-61	231
HVN-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.47	131	2	0	2.00E-61	231
HVN-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.47	131	2	0	2.00E-61	231
HVN-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.71	131	3	0	8.00E-60	226
HVN-PCr	lcl|KY502372.1_cds_AST35981.1_1		96.95	131	4	0	4.00E-58	220
HVN-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.56	676	3	0	0	1232
HVN-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.54	651	3	0	0	1186
HVN-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.24	657	5	0	0	1186
HVN-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.24	657	5	0	0	1186
HVN-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.24	657	5	0	0	1186
HVN-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.24	657	5	0	0	1186
HVN-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.24	657	5	0	0	1186
HVN-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.24	657	5	0	0	1186
HVN-ZCOI	lcl|FJ423975.1_cds_ACN97569.1_1		100	635	0	0	0	1173
HVN-ZCOI	lcl|FJ423977.1_cds_ACN97571.1_1		100	635	0	0	0	1173
HVO-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.59	142	2	0	1.00E-67	252
HVO-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.59	142	2	0	1.00E-67	252
HVO-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.58	141	2	0	5.00E-67	250
HVO-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.58	141	2	0	5.00E-67	250
HVO-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.89	142	3	0	6.00E-66	246
HVO-PCr	lcl|KY502372.1_cds_AST35981.1_1		97.18	142	4	0	3.00E-64	241
HVO-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.85	669	1	0	0	1230
HVO-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
HVO-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
HVO-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
HVO-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
HVO-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
HVO-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
HVO-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.84	644	1	0	0	1184
HVO-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
HVO-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
LVA-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.59	142	2	0	1.00E-67	252
LVA-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.59	142	2	0	1.00E-67	252
LVA-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.58	141	2	0	5.00E-67	250
LVA-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.58	141	2	0	5.00E-67	250
LVA-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.89	142	3	0	6.00E-66	246
LVA-PCr	lcl|KY502372.1_cds_AST35981.1_1		97.18	142	4	0	3.00E-64	241
LVA-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.7	675	2	0	0	1236
LVA-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
LVA-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
LVA-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
LVA-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
LVA-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
LVA-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
LVA-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	650	2	0	0	1190
LVA-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
LVA-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
LVB-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.42	684	4	0	0	1242
LVB-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.39	659	4	0	0	1195
LVB-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.24	657	5	0	0	1186
LVB-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.24	657	5	0	0	1186
LVB-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.24	657	5	0	0	1186
LVB-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.24	657	5	0	0	1186
LVB-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.24	657	5	0	0	1186
LVB-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.24	657	5	0	0	1186
LVB-ZCOI	lcl|FJ423975.1_cds_ACN97569.1_1		100	635	0	0	0	1173
LVB-ZCOI	lcl|FJ423977.1_cds_ACN97571.1_1		100	635	0	0	0	1173
LVC-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.59	142	2	0	1.00E-67	252
LVC-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.59	142	2	0	1.00E-67	252
LVC-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.58	141	2	0	4.00E-67	250
LVC-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.58	141	2	0	4.00E-67	250
LVC-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.89	142	3	0	5.00E-66	246
LVC-PCr	lcl|KY502372.1_cds_AST35981.1_1		97.18	142	4	0	3.00E-64	241
LVC-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.71	678	2	0	0	1242
LVC-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	653	2	0	0	1195
LVC-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
LVC-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
LVC-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
LVC-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
LVC-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
LVC-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
LVC-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
LVC-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
LVD-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.71	678	2	0	0	1242
LVD-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	653	2	0	0	1195
LVD-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
LVD-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
LVD-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
LVD-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
LVD-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
LVD-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
LVD-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
LVD-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
LVE-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.59	142	2	0	1.00E-67	252
LVE-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.59	142	2	0	1.00E-67	252
LVE-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.58	141	2	0	5.00E-67	250
LVE-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.58	141	2	0	5.00E-67	250
LVE-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.89	142	3	0	6.00E-66	246
LVE-PCr	lcl|KY502372.1_cds_AST35981.1_1		97.18	142	4	0	3.00E-64	241
LVE-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.7	673	2	0	0	1232
LVE-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
LVE-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
LVE-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
LVE-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
LVE-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
LVE-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
LVE-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	648	2	0	0	1186
LVE-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
LVE-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
LVF-FOLLMER	lcl|KR401093.1_cds_ALL99174.1_1		98.43	638	10	0	0	1123
LVF-FOLLMER	lcl|KR401094.1_cds_ALL99175.1_1		98.43	638	10	0	0	1123
LVK-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.59	142	2	0	1.00E-67	252
LVK-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.59	142	2	0	1.00E-67	252
LVK-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.58	141	2	0	4.00E-67	250
LVK-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.58	141	2	0	4.00E-67	250
LVK-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.89	142	3	0	5.00E-66	246
LVK-PCr	lcl|KY502372.1_cds_AST35981.1_1		97.18	142	4	0	3.00E-64	241
LVK-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.7	677	2	0	0	1240
LVK-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	652	2	0	0	1194
LVK-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
LVK-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
LVK-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
LVK-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
LVK-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.39	657	4	0	0	1192
LVK-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.39	657	4	0	0	1192
LVK-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		100	635	0	0	0	1173
LVK-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		100	635	0	0	0	1173
LVL-PCr	lcl|KY502373.1_cds_AST35982.1_1		98.47	131	2	0	2.00E-61	231
LVL-PCr	lcl|KY502374.1_cds_AST35983.1_1		98.47	131	2	0	2.00E-61	231
LVL-PCr	lcl|KY502375.1_cds_AST35984.1_1		98.47	131	2	0	2.00E-61	231
LVL-PCr	lcl|KY502376.1_cds_AST35985.1_1		98.47	131	2	0	2.00E-61	231
LVL-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.71	131	3	0	8.00E-60	226
LVL-PCr	lcl|KY502372.1_cds_AST35981.1_1		96.95	131	4	0	4.00E-58	220
LVL-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.55	674	3	0	0	1229
LVL-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.24	657	5	0	0	1186
LVL-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.24	657	5	0	0	1186
LVL-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.24	657	5	0	0	1186
LVL-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.24	657	5	0	0	1186
LVL-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.24	657	5	0	0	1186
LVL-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.24	657	5	0	0	1186
LVL-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.54	649	3	0	0	1182
LVL-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		99.84	635	1	0	0	1168
LVL-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		99.84	635	1	0	0	1168
LVM-PCr	lcl|KY502373.1_cds_AST35982.1_1		97.81	137	3	0	4.00E-63	237
LVM-PCr	lcl|KY502374.1_cds_AST35983.1_1		97.81	137	3	0	4.00E-63	237
LVM-PCr	lcl|KY502375.1_cds_AST35984.1_1		97.81	137	3	0	4.00E-63	237
LVM-PCr	lcl|KY502376.1_cds_AST35985.1_1		97.81	137	3	0	4.00E-63	237
LVM-PCr	lcl|KY502371.1_cds_AST35980.1_1		97.08	137	4	0	2.00E-61	231
LVM-PCr	lcl|KY502372.1_cds_AST35981.1_1		96.35	137	5	0	8.00E-60	226
LVM-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.7	669	2	0	0	1225
LVM-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.24	657	5	0	0	1186
LVM-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.24	657	5	0	0	1186
LVM-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.24	657	5	0	0	1186
LVM-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.24	657	5	0	0	1186
LVM-ZCOI	lcl|AY451378.1_cds_AAS17053.1_1		99.24	657	5	0	0	1186
LVM-ZCOI	lcl|AY451379.1_cds_AAS17054.1_1		99.24	657	5	0	0	1186
LVM-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	644	2	0	0	1179
LVM-ZCOI	lcl|KF271416.1_cds_AHL24666.1_1		99.84	635	1	0	0	1168
LVM-ZCOI	lcl|KF271417.1_cds_AHL24667.1_1		99.84	635	1	0	0	1168
LVN-ZCOI	lcl|AB907073.1_cds_BAO94391.1_1		99.71	678	2	0	0	1242
LVN-ZCOI	lcl|AB907074.1_cds_BAO94392.1_1		99.69	653	2	0	0	1195
LVN-ZCOI	lcl|AY451374.1_cds_AAS17049.1_1		99.39	657	4	0	0	1192
LVN-ZCOI	lcl|AY451375.1_cds_AAS17050.1_1		99.39	657	4	0	0	1192
LVN-ZCOI	lcl|AY451376.1_cds_AAS17051.1_1		99.39	657	4	0	0	1192
LVN-ZCOI	lcl|AY451377.1_cds_AAS17052.1_1		99.39	657	4	0	0	1192
